CustomerID,Age,Gender,Income,Tenure,Number_of_Products,Activity_Score,Churn
CUST_000001,39,Female,20000,9.0,2,100.0,No
CUST_000002,33,Female,20000,9.5,8,65.3,No
CUST_000003,43,Male,20000,0.5,2,32.5,Yes
CUST_000004,27,Female,20000,3.0,2,44.8,Yes
CUST_000005,52,Male,32059,0.2,1,54.7,No
CUST_000006,24,Male,20000,2.2,4,100.0,Yes
CUST_000007,49,Female,20000,7.0,5,81.1,Yes
CUST_000008,28,Female,39852,1.1,4,17.0,Yes
CUST_000009,30,Male,37295,2.3,4,100.0,No
CUST_000010,41,Female,20225,11.2,7,86.4,No
CUST_000011,51,Female,20000,6.7,2,73.3,Yes
CUST_000012,23,Male,23873,2.1,3,14.8,Yes
CUST_000013,40,Female,26534,3.7,5,86.9,No
CUST_000014,34,Female,20000,5.4,2,73.7,Yes
CUST_000015,26,Male,20000,3.7,1,100.0,Yes
CUST_000016,39,Male,20960,10.0,4,100.0,No
CUST_000017,26,Female,31022,3.1,3,78.0,No
CUST_000018,38,Female,37629,6.1,4,94.5,No
CUST_000019,28,Female,21114,6.8,2,92.3,Yes
CUST_000020,30,Female,20000,3.9,2,65.5,Yes
CUST_000021,34,Male,33072,5.8,2,92.4,No
CUST_000022,42,Male,20000,0.5,2,56.4,Yes
CUST_000023,27,Male,20000,6.6,3,45.8,Yes
CUST_000024,36,Female,22337,9.8,4,96.5,No
CUST_000025,30,Female,47725,3.2,6,14.5,No
CUST_000026,29,Female,48142,6.7,6,100.0,No
CUST_000027,40,Female,20000,6.9,2,100.0,Yes
CUST_000028,30,Female,20000,5.6,5,58.0,Yes
CUST_000029,29,Female,73636,6.7,2,38.2,No
CUST_000030,35,Female,20000,2.9,1,33.9,Yes
CUST_000031,24,Male,46536,2.0,3,100.0,No
CUST_000032,30,Male,35882,1.1,2,74.9,No
CUST_000033,37,Female,42748,6.9,7,88.3,No
CUST_000034,20,Female,20000,0.6,1,12.0,Yes
CUST_000035,25,Male,20000,1.0,1,24.8,Yes
CUST_000036,31,Male,20000,9.8,2,63.1,Yes
CUST_000037,40,Female,36124,5.2,5,85.6,No
CUST_000038,58,Male,20000,12.4,8,85.7,Yes
CUST_000039,28,Male,20000,7.6,4,96.8,No
CUST_000040,22,Female,45883,2.7,3,4.7,No
CUST_000041,22,Female,27279,1.4,3,90.9,No
CUST_000042,28,Female,35636,1.7,3,88.7,No
CUST_000043,51,Female,20000,1.6,1,40.9,Yes
CUST_000044,21,Female,20000,0.1,2,80.2,Yes
CUST_000045,32,Male,40614,2.0,1,54.5,No
CUST_000046,37,Male,25098,6.4,3,70.0,No
CUST_000047,27,Female,20000,5.4,2,31.0,Yes
CUST_000048,41,Female,33441,8.5,3,48.4,No
CUST_000049,48,Male,20000,8.8,2,100.0,Yes
CUST_000050,23,Female,72853,2.6,3,75.5,No
CUST_000051,40,Female,32690,3.5,1,53.0,No
CUST_000052,36,Male,20000,5.2,3,100.0,No
CUST_000053,31,Female,34560,5.2,3,69.9,No
CUST_000054,28,Female,48396,1.4,4,86.4,No
CUST_000055,46,Female,25474,10.6,6,100.0,No
CUST_000056,24,Female,20000,1.8,3,53.8,Yes
CUST_000057,29,Female,22294,7.8,5,57.9,Yes
CUST_000058,39,Female,20000,3.1,3,100.0,Yes
CUST_000059,35,Male,20325,2.3,3,52.4,Yes
CUST_000060,45,Female,20000,4.1,3,87.2,Yes
CUST_000061,26,Female,32754,2.3,5,100.0,No
CUST_000062,42,Female,20000,1.7,1,74.3,Yes
CUST_000063,38,Female,32242,8.9,1,80.5,No
CUST_000064,36,Male,20054,9.3,2,98.1,Yes
CUST_000065,25,Female,23392,4.2,2,27.2,Yes
CUST_000066,39,Male,20000,3.1,3,67.0,Yes
CUST_000067,28,Female,23811,1.9,2,35.8,Yes
CUST_000068,67,Female,37463,7.0,8,100.0,No
CUST_000069,26,Male,20000,3.7,3,80.1,Yes
CUST_000070,25,Female,20000,4.2,1,94.4,Yes
CUST_000071,38,Male,28154,2.7,1,58.8,Yes
CUST_000072,20,Female,24102,1.2,2,46.6,Yes
CUST_000073,27,Female,20000,5.0,1,65.6,Yes
CUST_000074,34,Male,20000,4.2,6,52.2,Yes
CUST_000075,33,Male,20000,3.3,5,68.7,Yes
CUST_000076,22,Male,20000,2.9,3,25.0,Yes
CUST_000077,46,Male,36401,3.4,3,82.9,No
CUST_000078,51,Male,20873,7.8,6,63.1,Yes
CUST_000079,34,Female,26463,2.5,4,65.8,Yes
CUST_000080,22,Female,20000,1.6,1,42.9,Yes
CUST_000081,20,Female,54359,0.9,2,18.1,No
CUST_000082,25,Female,20000,1.8,2,66.2,Yes
CUST_000083,38,Female,20000,6.6,2,85.7,No
CUST_000084,25,Male,38110,2.4,2,90.6,No
CUST_000085,24,Female,20000,2.5,2,83.8,Yes
CUST_000086,38,Male,24896,10.8,6,27.6,No
CUST_000087,31,Female,30435,2.0,1,65.8,No
CUST_000088,36,Female,20000,5.4,3,63.7,Yes
CUST_000089,43,Male,20000,3.9,1,71.4,Yes
CUST_000090,29,Female,23981,5.6,5,100.0,No
CUST_000091,32,Female,28182,4.0,2,70.8,No
CUST_000092,28,Female,20000,0.8,2,57.3,Yes
CUST_000093,34,Male,57497,9.7,4,24.7,No
CUST_000094,32,Female,28574,9.5,1,48.0,No
CUST_000095,38,Female,35076,9.8,3,100.0,No
CUST_000096,45,Male,36270,6.5,1,30.0,Yes
CUST_000097,41,Female,20000,10.6,2,92.4,No
CUST_000098,23,Male,20000,0.3,3,85.1,Yes
CUST_000099,30,Female,21848,1.7,1,60.0,Yes
CUST_000100,28,Female,20000,1.2,2,82.7,Yes
CUST_000101,32,Male,24922,4.5,4,31.3,Yes
CUST_000102,47,Male,20000,2.9,2,63.3,Yes
CUST_000103,25,Male,22309,0.5,1,50.4,Yes
CUST_000104,28,Male,20000,2.0,2,62.8,Yes
CUST_000105,32,Female,20000,3.0,3,76.7,Yes
CUST_000106,30,Female,27206,3.9,2,26.4,Yes
CUST_000107,27,Female,20000,6.1,3,54.6,Yes
CUST_000108,36,Male,20000,11.9,7,100.0,Yes
CUST_000109,34,Male,20171,6.1,2,24.7,Yes
CUST_000110,29,Male,20000,5.4,1,83.0,Yes
CUST_000111,22,Female,20000,2.9,7,39.2,Yes
CUST_000112,40,Female,31824,2.2,2,34.9,Yes
CUST_000113,28,Male,20000,5.9,2,14.7,Yes
CUST_000114,58,Male,23165,5.1,2,32.2,Yes
CUST_000115,49,Male,27183,6.4,3,87.6,No
CUST_000116,43,Male,20000,2.5,3,70.0,Yes
CUST_000117,41,Female,20000,2.4,4,19.1,Yes
CUST_000118,47,Female,24384,4.5,4,100.0,No
CUST_000119,45,Female,61207,4.4,4,69.3,No
CUST_000120,37,Female,20000,3.3,6,100.0,No
CUST_000121,39,Female,35618,3.3,5,78.1,No
CUST_000122,51,Female,26628,4.7,2,100.0,Yes
CUST_000123,36,Female,20000,5.6,4,63.6,Yes
CUST_000124,27,Male,20000,3.0,1,40.8,Yes
CUST_000125,46,Male,39401,0.9,1,20.9,Yes
CUST_000126,40,Male,35732,4.5,4,100.0,No
CUST_000127,21,Female,20000,1.5,2,68.4,Yes
CUST_000128,32,Female,26679,7.7,2,50.2,No
CUST_000129,29,Female,20000,9.7,4,43.2,Yes
CUST_000130,50,Male,24198,7.3,8,100.0,No
CUST_000131,31,Female,20000,6.6,2,64.7,Yes
CUST_000132,26,Female,33693,3.7,4,96.8,No
CUST_000133,47,Male,32481,1.2,1,58.5,No
CUST_000134,27,Female,20000,5.5,3,95.9,Yes
CUST_000135,21,Male,20000,1.3,1,53.4,Yes
CUST_000136,39,Female,23662,2.1,1,36.1,Yes
CUST_000137,37,Female,21742,11.3,4,95.4,No
CUST_000138,35,Female,20111,1.2,2,62.2,Yes
CUST_000139,38,Male,20000,4.4,3,77.9,No
CUST_000140,43,Male,49603,8.1,3,53.7,No
CUST_000141,38,Female,20000,3.5,2,82.7,Yes
CUST_000142,29,Female,25334,3.0,2,80.2,Yes
CUST_000143,24,Female,69526,3.3,4,62.2,No
CUST_000144,21,Male,20000,1.0,1,25.1,Yes
CUST_000145,42,Male,27165,9.3,5,42.2,No
CUST_000146,31,Male,25139,6.8,3,85.6,No
CUST_000147,28,Female,21466,3.3,2,100.0,No
CUST_000148,22,Female,20685,0.4,2,30.2,Yes
CUST_000149,30,Female,20000,2.4,1,34.9,Yes
CUST_000150,40,Male,28990,8.0,2,68.5,Yes
CUST_000151,37,Male,20000,11.8,4,73.4,No
CUST_000152,26,Female,51953,0.3,4,63.2,No
CUST_000153,31,Female,52389,7.7,3,38.7,No
CUST_000154,26,Female,20000,1.2,3,26.4,Yes
CUST_000155,21,Female,33913,1.5,3,100.0,No
CUST_000156,53,Male,23396,11.3,3,100.0,No
CUST_000157,28,Female,21692,6.0,2,78.9,Yes
CUST_000158,48,Male,20000,1.6,2,73.1,No
CUST_000159,31,Male,33517,7.8,1,49.4,No
CUST_000160,41,Male,20000,4.4,4,100.0,No
CUST_000161,41,Male,36204,6.1,2,39.6,No
CUST_000162,36,Male,22862,4.0,4,100.0,No
CUST_000163,40,Male,24021,10.0,4,60.4,No
CUST_000164,40,Female,20000,11.9,3,100.0,Yes
CUST_000165,44,Male,25872,8.8,7,100.0,No
CUST_000166,21,Male,20000,2.4,2,100.0,Yes
CUST_000167,27,Female,22033,6.4,3,98.3,Yes
CUST_000168,60,Male,75527,2.8,4,89.9,No
CUST_000169,21,Male,20000,1.4,2,82.6,Yes
CUST_000170,29,Male,20261,6.0,4,100.0,No
CUST_000171,34,Female,20000,13.0,8,100.0,No
CUST_000172,37,Male,20000,10.4,4,100.0,Yes
CUST_000173,47,Female,20000,3.8,2,59.7,Yes
CUST_000174,37,Male,49171,4.9,7,100.0,No
CUST_000175,48,Female,61929,7.0,5,100.0,No
CUST_000176,29,Female,20000,6.7,2,100.0,No
CUST_000177,19,Female,23954,0.4,1,76.0,Yes
CUST_000178,45,Female,20000,8.8,2,83.9,No
CUST_000179,31,Female,20000,5.3,3,100.0,Yes
CUST_000180,25,Female,20000,1.4,1,43.5,Yes
CUST_000181,52,Male,78023,4.0,1,47.0,No
CUST_000182,26,Male,36619,2.9,3,63.9,No
CUST_000183,29,Female,20000,4.4,5,89.5,Yes
CUST_000184,35,Female,26667,1.6,4,62.8,Yes
CUST_000185,34,Female,20000,7.0,2,100.0,Yes
CUST_000186,28,Male,34640,6.3,4,100.0,No
CUST_000187,42,Female,20799,2.8,1,25.0,Yes
CUST_000188,26,Female,20000,1.3,2,67.9,Yes
CUST_000189,46,Female,20000,11.0,4,35.0,Yes
CUST_000190,56,Female,37536,6.2,8,96.7,No
CUST_000191,37,Female,71134,7.4,2,59.2,No
CUST_000192,37,Female,20445,4.5,4,66.3,Yes
CUST_000193,26,Male,20000,1.5,5,75.9,Yes
CUST_000194,62,Male,28711,8.7,4,100.0,No
CUST_000195,25,Female,23832,1.0,2,59.4,Yes
CUST_000196,35,Male,20000,10.4,5,100.0,No
CUST_000197,49,Female,21543,3.5,1,86.3,No
CUST_000198,27,Male,22265,2.1,1,75.0,Yes
CUST_000199,34,Female,20000,7.7,2,10.5,Yes
CUST_000200,26,Male,20000,6.4,2,93.8,No
CUST_000201,42,Male,20000,3.2,3,100.0,Yes
CUST_000202,46,Female,20000,2.2,2,76.0,No
CUST_000203,25,Male,20000,2.8,3,30.8,Yes
